fecha,Demanda real
2021-11-19,29964.118055555555
2021-11-20,29884.097222222223
2021-11-21,26869.180555555555
2021-11-22,24819.319444444445
2021-11-23,29639.854166666668
2021-11-24,30647.0625
2021-11-25,31214.972222222223
2021-11-26,31179.3125
2021-11-27,30995.51388888889
2021-11-28,28187.416666666668
2021-11-29,26945.0
2021-11-30,31179.97122302158
2021-12-01,27543.0
2021-12-02,31644.5625
2021-12-03,31701.555555555555
2021-12-04,31344.180555555555
2021-12-05,28025.694444444445
2021-12-06,26052.0625
2021-12-07,26398.39583333333
2021-12-08,28048.590277777777
2021-12-09,26875.26388888889
2021-12-10,31014.29861111111
2021-12-11,30777.472222222223
2021-12-12,27517.340277777777
2021-12-13,25614.0625
2021-12-14,30292.131944444445
2021-12-15,31101.569444444445
2021-12-16,31170.89583333333
2021-12-17,31321.01388888889
2021-12-18,31034.08333333333
2021-12-19,27919.58333333333
2021-12-20,26054.902777777777
2021-12-21,30750.652777777777
2021-12-22,30701.5625
2021-12-23,30108.0
2021-12-24,28783.54861111111
2021-12-25,24763.118055555555
2021-12-26,21441.006944444445
2021-12-27,22760.006944444445
2021-12-28,25648.152777777777
2021-12-29,25898.604166666668
2021-12-30,25646.11111111111
2021-12-31,25702.525179856115
2022-01-01,21558.666666666668
2022-01-02,20872.659722222223
2022-01-03,22718.48611111111
2022-01-04,27346.95833333333
2022-01-05,28248.4375
2022-01-06,28049.256944444445
2022-01-07,24176.194444444445
2022-01-08,27754.5
2022-01-09,26877.881944444445
2022-01-10,25598.097222222223
2022-01-11,29854.743055555555
2022-01-12,30291.604166666668
2022-01-13,30571.965277777777
2022-01-14,31128.729166666668
2022-01-15,31460.027777777777
2022-01-16,28114.23611111111
2022-01-17,26513.972222222223
2022-01-18,31244.8125
2022-01-19,32124.777777777777
2022-01-20,32265.88888888889
2022-01-21,32181.715277777777
2022-01-22,31946.11111111111
2022-01-23,28742.39583333333
2022-01-24,27053.45138888889
2022-01-25,31990.82638888889
2022-01-26,31925.277777777777
2022-01-27,31815.04861111111
2022-01-28,31489.6875
2022-01-29,31082.652777777777
2022-01-30,27681.291666666668
2022-01-31,25729.1654676259
2022-02-01,26768.0
2022-02-02,30558.14583333333
2022-02-03,30343.51388888889
2022-02-04,30142.347222222223
2022-02-05,29905.13888888889
2022-02-06,26750.73611111111
2022-02-07,25172.541666666668
2022-02-08,29411.506944444445
2022-02-09,29869.92361111111
2022-02-10,29941.11111111111
2022-02-11,30156.625
2022-02-12,29716.42361111111
2022-02-13,26755.256944444445
2022-02-14,24874.51388888889
2022-02-15,29303.618055555555
2022-02-16,29965.33333333333
2022-02-17,29890.868055555555
2022-02-18,29542.95138888889
2022-02-19,29006.45138888889
2022-02-20,26573.95138888889
2022-02-21,24759.354166666668
2022-02-22,28816.993055555555
2022-02-23,29062.13888888889
2022-02-24,29075.416666666668
2022-02-25,29157.715277777777
2022-02-26,29235.979166666668
2022-02-27,26565.36111111111
2022-02-28,24585.41007194245
2022-03-01,25332.33333333333
2022-03-02,28726.993055555555
2022-03-03,29043.527777777777
2022-03-04,29355.73611111111
2022-03-05,29205.70833333333
2022-03-06,25752.666666666668
2022-03-07,24276.07638888889
2022-03-08,29082.5625
2022-03-09,29019.694444444445
2022-03-10,28695.88888888889
2022-03-11,28500.479166666668
2022-03-12,28724.23611111111
2022-03-13,25200.194444444445
2022-03-14,23406.229166666668
2022-03-15,28784.04861111111
2022-03-16,28724.479166666668
2022-03-17,28744.01388888889
2022-03-18,28365.777777777777
2022-03-19,27742.52083333333
2022-03-20,24452.319444444445
2022-03-21,23249.13888888889
2022-03-22,27449.840277777777
2022-03-23,28033.70833333333
2022-03-24,28252.597222222223
2022-03-25,28537.32638888889
2022-03-26,27986.23611111111
2022-03-27,24988.604166666668
2022-03-28,22809.784722222223
2022-03-29,26918.48611111111
2022-03-30,27553.14583333333
2022-03-31,28155.398496240603
2022-04-01,24157.916666666668
2022-04-02,28030.256944444445
2022-04-03,25147.256944444445
2022-04-04,23955.791666666668
2022-04-05,29464.92361111111
2022-04-06,30299.20833333333
2022-04-07,29312.70833333333
2022-04-08,28282.368055555555
2022-04-09,27716.805555555555
2022-04-10,24314.090277777777
2022-04-11,22479.36111111111
2022-04-12,26367.58333333333
2022-04-13,27063.125
2022-04-14,26575.229166666668
2022-04-15,22631.902777777777
2022-04-16,20821.125
2022-04-17,21417.75
2022-04-18,20388.569444444445
