fecha,tmed,hrMedia
2019-03-29,10.75042734253235,49.480618630899805
2019-03-30,11.488467891093215,54.17086631111827
2019-03-31,10.747249931742717,70.35933087365831
2019-04-01,11.760783178037071,72.74149054761273
2019-04-02,11.795418383434011,68.94568120784939
2019-04-03,9.074140728999959,65.60266574140495
2019-04-04,7.754622854388251,55.714001807884785
2019-04-05,7.668695482957369,75.79824718341696
2019-04-06,7.621661360732523,74.22662288822917
2019-04-07,8.733039502690348,71.85234408495621
2019-04-08,10.987580514928004,72.52288703750051
2019-04-09,9.922504057175244,71.95525055085987
2019-04-10,9.847732829107763,69.71725729853678
2019-04-11,9.918239358511666,62.37581689419722
2019-04-12,10.878162332610207,54.85858191304104
2019-04-13,12.308609623871376,48.041267725703584
2019-04-14,15.146113331771597,59.70917190788698
2019-04-15,14.726662689358,65.04715264210598
2019-04-16,13.401282915195354,60.626166228321885
2019-04-17,14.494375486272313,63.200259222517104
2019-04-18,12.066374863832692,79.48880903192764
2019-04-19,12.34127312454828,75.90139779774698
2019-04-20,13.14108092803855,64.7536077179611
2019-04-21,11.400504920621042,72.15392542832186
2019-04-22,12.541167219806942,68.65476675042954
2019-04-23,10.477039454909978,75.06336895864018
2019-04-24,9.935425340684423,75.54501941800619
2019-04-25,10.853620940360996,70.70396341725927
2019-04-26,11.262353413718072,61.02557023497376
2019-04-27,12.873977097782419,60.344592991048124
2019-04-28,14.556135589554408,54.37849311734565
2019-04-29,15.268718620744972,55.87262008531393
2019-04-30,15.770265544300779,57.500715753436594
2019-05-01,15.545824152898506,59.08962599937106
2019-05-02,14.984492547283494,60.034816275657974
2019-05-03,12.623294900404789,64.49675717283712
2019-05-04,13.10160551297326,57.77484103016349
2019-05-05,13.041009407213899,49.52917833332385
2019-05-06,14.030493037919799,52.6521905204935
2019-05-07,15.472172669038478,61.781179915813034
2019-05-08,15.720029443420175,63.676346603503106
2019-05-09,15.135911507294589,65.84643306805562
2019-05-10,18.194816628387724,62.570699144327264
2019-05-11,16.73988057365351,54.27261265893041
2019-05-12,16.684537563205023,43.7923975727633
2019-05-13,17.110238149866856,40.20805851485134
2019-05-14,17.46702578153595,41.9709911893975
2019-05-15,18.65051773150784,43.053190476575956
2019-05-16,16.796930360291004,56.96060583383167
2019-05-17,12.265219838807297,62.16060725176917
2019-05-18,11.707042359716159,57.832527157137044
